Timestamp,Model,Feature_Engineering,Parameter,K-Fold,F1,Accuracy,Recall,Prec,Standard Deviation,Kaggle Score,Author
10/25/2025 2:08,RandomForestClassifier,nameMiner_engineered,"{""bootstrap"":true,""ccp_alpha"":0.0,""class_weight"":null,""criterion"":""gini"",""max_depth"":null,""max_features"":""sqrt"",""max_leaf_nodes"":null,""max_samples"":null,""min_impurity_decrease"":0.0,""min_samples_leaf"":1,""min_samples_split"":2,""min_weight_fraction_leaf"":0.0,""monotonic_cst"":null,""n_estimators"":100,""n_jobs"":null,""oob_score"":false,""random_state"":42,""verbose"":0,""warm_start"":false}",5,0.7741,0.8373,0.7377,0.819,0.0211,0.76315,Thang
10/25/2025 2:24,XGBoostClassifier,nameMiner_engineered,"{""objective"":""binary:logistic"",""base_score"":null,""booster"":null,""callbacks"":null,""colsample_bylevel"":null,""colsample_bynode"":null,""colsample_bytree"":0.8,""device"":null,""early_stopping_rounds"":null,""enable_categorical"":false,""eval_metric"":""logloss"",""feature_types"":null,""feature_weights"":null,""gamma"":null,""grow_policy"":null,""importance_type"":null,""interaction_constraints"":null,""learning_rate"":0.05,""max_bin"":null,""max_cat_threshold"":null,""max_cat_to_onehot"":null,""max_delta_step"":null,""max_depth"":4,""max_leaves"":null,""min_child_weight"":null,""missing"":NaN,""monotone_constraints"":null,""multi_strategy"":null,""n_estimators"":200,""n_jobs"":null,""num_parallel_tree"":null,""random_state"":42,""reg_alpha"":null,""reg_lambda"":null,""sampling_method"":null,""scale_pos_weight"":null,""subsample"":0.8,""tree_method"":null,""validate_parameters"":null,""verbosity"":null,""use_label_encoder"":false}",5,0.7751,0.8328,0.7585,0.7974,0.0264,0.75119,Thang
10/25/2025 2:28,LogisticRegression,nameMiner_engineered,"{""C"":1.0,""class_weight"":null,""dual"":false,""fit_intercept"":true,""intercept_scaling"":1,""l1_ratio"":null,""max_iter"":1000,""multi_class"":""deprecated"",""n_jobs"":null,""penalty"":""l2"",""random_state"":42,""solver"":""lbfgs"",""tol"":0.0001,""verbose"":0,""warm_start"":false}",5,0.7795,0.8373,0.758,0.8038,0.0249,0.75598,Thang
10/25/2025 2:30,GradientBoostingClassifier,nameMiner_engineered,"{""ccp_alpha"":0.0,""criterion"":""friedman_mse"",""init"":null,""learning_rate"":0.05,""loss"":""log_loss"",""max_depth"":3,""max_features"":null,""max_leaf_nodes"":null,""min_impurity_decrease"":0.0,""min_samples_leaf"":1,""min_samples_split"":2,""min_weight_fraction_leaf"":0.0,""n_estimators"":200,""n_iter_no_change"":null,""random_state"":42,""subsample"":0.8,""tol"":0.0001,""validation_fraction"":0.1,""verbose"":0,""warm_start"":false}",5,0.7814,0.8406,0.7552,0.8142,0.0222,0.74641,Thang
10/25/2025 2:33,CatBoostClassifier,nameMiner_engineered,"{""iterations"":300,""learning_rate"":0.05,""depth"":6,""random_seed"":42,""verbose"":false}",5,0.7662,0.8316,0.7315,0.8093,0.0319,0.75598,Thang
