Timestamp,Model,Feature_Engineering,Parameter,K-Fold,F1,Accuracy,Recall,Prec,Standard Deviation,Kaggle Score,Author
10/23/2025 16:06,RandomForestClassifier,scaledData_engineered,"{""bootstrap"":true,""ccp_alpha"":0.0,""class_weight"":null,""criterion"":""gini"",""max_depth"":15,""max_features"":""sqrt"",""max_leaf_nodes"":null,""max_samples"":null,""min_impurity_decrease"":0.0,""min_samples_leaf"":2,""min_samples_split"":2,""min_weight_fraction_leaf"":0.0,""monotonic_cst"":null,""n_estimators"":300,""n_jobs"":null,""oob_score"":false,""random_state"":42,""verbose"":0,""warm_start"":false}",5,0.7568,0.8226,0.726,0.791,0.0208,0.78468,Thang
10/23/2025 16:52,XGBoostClassifier,scaledData_engineered,"{""objective"":""binary:logistic"",""base_score"":null,""booster"":null,""callbacks"":null,""colsample_bylevel"":null,""colsample_bynode"":null,""colsample_bytree"":1.0,""device"":null,""early_stopping_rounds"":null,""enable_categorical"":false,""eval_metric"":""logloss"",""feature_types"":null,""feature_weights"":null,""gamma"":0.1,""grow_policy"":null,""importance_type"":null,""interaction_constraints"":null,""learning_rate"":0.1,""max_bin"":null,""max_cat_threshold"":null,""max_cat_to_onehot"":null,""max_delta_step"":null,""max_depth"":5,""max_leaves"":null,""min_child_weight"":null,""missing"":NaN,""monotone_constraints"":null,""multi_strategy"":null,""n_estimators"":100,""n_jobs"":null,""num_parallel_tree"":null,""random_state"":42,""reg_alpha"":0.01,""reg_lambda"":2,""sampling_method"":null,""scale_pos_weight"":null,""subsample"":0.6,""tree_method"":null,""validate_parameters"":null,""verbosity"":null,""use_label_encoder"":false}",5,0.7542,0.8215,0.7202,0.7937,0.0249,0.77751,Thang
10/23/2025 16:55,LogisticRegression,scaledData_engineered,"{""C"":0.01,""class_weight"":null,""dual"":false,""fit_intercept"":true,""intercept_scaling"":1,""l1_ratio"":0,""max_iter"":1000,""multi_class"":""deprecated"",""n_jobs"":null,""penalty"":""l2"",""random_state"":42,""solver"":""saga"",""tol"":0.0001,""verbose"":0,""warm_start"":false}",5,0.7051,0.798,0.6359,0.7925,0.0362,0.77990,Thang
10/23/2025 17:14,GradientBoostingClassifier,scaledData_engineered,"{""ccp_alpha"":0.0,""criterion"":""friedman_mse"",""init"":null,""learning_rate"":0.05,""loss"":""log_loss"",""max_depth"":3,""max_features"":null,""max_leaf_nodes"":null,""min_impurity_decrease"":0.0,""min_samples_leaf"":1,""min_samples_split"":5,""min_weight_fraction_leaf"":0.0,""n_estimators"":300,""n_iter_no_change"":null,""random_state"":42,""subsample"":0.6,""tol"":0.0001,""validation_fraction"":0.1,""verbose"":0,""warm_start"":false}",5,0.7576,0.8227,0.7323,0.7884,0.0291,0.77751,Thang
10/23/2025 17:20,CatBoostClassifier,scaledData_engineered,"{""silent"":true,""random_state"":42,""border_count"":128,""depth"":10,""iterations"":300,""l2_leaf_reg"":7,""learning_rate"":0.1}",5,0.7542,0.8215,0.7199,0.7932,0.0257,0.76555,Thang
