Timestamp,Model,Feature_Engineering,Parameter,K-Fold,Accuracy,Precision,F1,Recall,Kaggle Score,Author
2025-12-16 17:47:57,CatBoostClassifier,Interaction_and_binning,"{""verbose"":0,""random_state"":42}",5,0.5249,0.5757,0.5679,0.5683,,Toan Thang
2025-12-16 17:50:03,XGBClassifier,Interaction_and_binning,"{""objective"":""multi:softprob"",""base_score"":null,""booster"":null,""callbacks"":null,""colsample_bylevel"":null,""colsample_bynode"":null,""colsample_bytree"":null,""device"":null,""early_stopping_rounds"":null,""enable_categorical"":false,""eval_metric"":""logloss"",""feature_types"":null,""feature_weights"":null,""gamma"":null,""grow_policy"":null,""importance_type"":null,""interaction_constraints"":null,""learning_rate"":null,""max_bin"":null,""max_cat_threshold"":null,""max_cat_to_onehot"":null,""max_delta_step"":null,""max_depth"":null,""max_leaves"":null,""min_child_weight"":null,""missing"":NaN,""monotone_constraints"":null,""multi_strategy"":null,""n_estimators"":300,""n_jobs"":null,""num_parallel_tree"":null,""random_state"":42,""reg_alpha"":null,""reg_lambda"":null,""sampling_method"":null,""scale_pos_weight"":null,""subsample"":null,""tree_method"":null,""validate_parameters"":null,""verbosity"":null}",5,0.4959,0.559,0.5476,0.5425,,Toan Thang
