iter	Logloss
0	0.6626879914
1	0.6320613294
2	0.6068219153
3	0.5826289206
4	0.5607877293
5	0.5431655964
6	0.5296284418
7	0.5146950629
8	0.5023803793
9	0.4911802759
10	0.480721028
11	0.4710206823
12	0.4618517883
13	0.4514748601
14	0.4471048271
15	0.4405697209
16	0.4329811591
17	0.4273923126
18	0.4255630764
19	0.4230637988
20	0.4187825071
21	0.4150145115
22	0.4106493835
23	0.4073346473
24	0.4031309356
25	0.4009562855
26	0.3986348878
27	0.3951565357
28	0.3935128168
29	0.3899784876
30	0.3875359466
31	0.3852831148
32	0.382362952
33	0.3802977513
34	0.3781860524
35	0.3762890615
36	0.3747071239
37	0.3727659632
38	0.3710540604
39	0.3682471642
40	0.3674137384
41	0.3666473735
42	0.3652449511
43	0.3640365707
44	0.3629217969
45	0.3626762494
46	0.3610242588
47	0.3595002623
48	0.3585321226
49	0.3569456852
50	0.3556753264
51	0.3539437308
52	0.3532512454
53	0.3523697183
54	0.3513707058
55	0.3502538741
56	0.3497030635
57	0.3479777022
58	0.3479387337
59	0.346410095
60	0.3455112301
61	0.3442203616
62	0.3431056011
63	0.3417871134
64	0.340804797
65	0.3402062518
66	0.3390995522
67	0.3381032199
68	0.3372298201
69	0.3363527506
70	0.33565487
71	0.3349856307
72	0.3334050716
73	0.3331480645
74	0.3323370236
75	0.3307055314
76	0.3295289695
77	0.3285556611
78	0.32735712
79	0.3263369102
80	0.3254644586
81	0.3243814512
82	0.3235841534
83	0.3229936382
84	0.3217869555
85	0.3208743209
86	0.3199817733
87	0.319338388
88	0.3185732949
89	0.3171837869
90	0.3163306987
91	0.315297207
92	0.3145318943
93	0.3139934529
94	0.3134568389
95	0.313306254
96	0.312429086
97	0.3115396499
98	0.3108381289
99	0.3100616717
100	0.3086551776
101	0.3078193877
102	0.3067344094
103	0.3060260625
104	0.3055497559
105	0.3048512489
106	0.3039803922
107	0.3033493951
108	0.3019580839
109	0.3014012383
110	0.3006767607
111	0.2994206079
112	0.2992955511
113	0.2981788326
114	0.2973366128
115	0.2967123467
116	0.2963124957
117	0.2959461311
118	0.2959118895
119	0.2955588831
120	0.2945789952
121	0.293685995
122	0.292521958
123	0.2919894119
124	0.2912294715
125	0.290190072
126	0.2894046998
127	0.2889562597
128	0.288631976
129	0.287753093
130	0.2873914802
131	0.2866872637
132	0.2858835854
133	0.285385486
134	0.2851672549
135	0.2845704214
136	0.2835792374
137	0.2833326729
138	0.2828162228
139	0.2819729851
140	0.2809470956
141	0.2798708979
142	0.2791844404
143	0.2782049392
144	0.2773596737
145	0.2769210667
146	0.2767612316
147	0.2757582528
148	0.2750247405
149	0.2743723455
150	0.2738749131
151	0.2720709753
152	0.2714192115
153	0.2706744494
154	0.2702522992
155	0.2695606215
156	0.269233677
157	0.2681160033
158	0.2674206243
159	0.2662735936
160	0.2659910848
161	0.2654535219
162	0.2648098685
163	0.2633710237
164	0.2628359725
165	0.2618058473
166	0.2610209201
167	0.2607343865
168	0.2600394228
169	0.2597473008
170	0.2595838075
171	0.258800012
172	0.2585005696
173	0.2574423353
174	0.2570041498
175	0.2555800585
176	0.255368421
177	0.2550401477
178	0.253803735
179	0.2533601333
180	0.252643121
181	0.2523917009
182	0.2511122067
183	0.2506579111
184	0.2502698349
185	0.2494746058
186	0.2487916916
187	0.2477678101
188	0.2471881276
189	0.2468224919
190	0.2461179145
191	0.2457492715
192	0.2452342532
193	0.244127069
194	0.2429846267
195	0.2419083818
196	0.2416529626
197	0.2410400272
198	0.2399019984
199	0.2387832934
200	0.2384345775
201	0.2377300203
202	0.2371286004
203	0.236962094
204	0.2361635693
205	0.2358478475
206	0.2351696454
207	0.2340348524
208	0.2332103897
209	0.2325828418
210	0.2322715511
211	0.2318729575
212	0.2309287557
213	0.2305053843
214	0.2299964962
215	0.2287442705
216	0.2281651475
217	0.2279228559
218	0.2274515662
219	0.2263912734
220	0.2260511392
221	0.2258187963
222	0.2256492804
223	0.2254236772
224	0.2250339995
225	0.2247340633
226	0.22381934
227	0.2225906904
228	0.2214948914
229	0.2210666589
230	0.2208728596
231	0.2199341785
232	0.219570361
233	0.2183408267
234	0.2174625657
235	0.2171065423
236	0.2168578135
237	0.2161000402
238	0.2159522284
239	0.2151814242
240	0.2139717039
241	0.2137246425
242	0.2133390361
243	0.2132000671
244	0.212932079
245	0.2127782001
246	0.2123733828
247	0.2115419557
248	0.2108173148
249	0.210048646
250	0.2095245426
251	0.2088722256
252	0.2087279008
253	0.2079808735
254	0.2075166918
255	0.2069061179
256	0.2059527775
257	0.2055669456
258	0.2047256559
259	0.204180792
260	0.2041193435
261	0.2035958049
262	0.203044436
263	0.202764264
264	0.2022051435
265	0.2019443517
266	0.2010784394
267	0.2007939586
268	0.1999270693
269	0.1997116681
270	0.1994311253
271	0.1985960565
272	0.1978691269
273	0.197764104
274	0.1973886525
275	0.1968811917
276	0.1961532227
277	0.1959223507
278	0.195807996
279	0.1955810993
280	0.1951702645
281	0.1942527141
282	0.1939122785
283	0.1936946587
284	0.1925252037
285	0.1921816408
286	0.1918205216
287	0.190986399
288	0.1903008719
289	0.1894108231
290	0.1892005216
291	0.1890489484
292	0.1885810773
293	0.1882653667
294	0.1880419818
295	0.1878160752
296	0.1872108012
297	0.1866912293
298	0.1864466573
299	0.1862412233
