iter	RMSE
453	11252.13171
454	11238.54397
455	11237.02325
456	11222.9932
457	11204.50537
458	11203.22864
459	11191.59669
460	11179.1999
461	11169.02007
462	11149.67882
463	11135.36652
464	11122.12604
465	11104.26791
466	11087.24108
467	11068.55254
468	11051.89321
469	11036.91685
470	11024.29504
471	11006.75988
472	10997.02511
473	10995.75576
474	10970.27563
475	10955.32276
476	10953.8344
477	10940.08105
478	10921.41458
479	10910.6182
480	10892.52404
481	10880.98178
482	10860.7437
483	10836.31127
484	10824.64135
485	10823.28923
486	10799.88141
487	10785.52666
488	10775.20762
489	10773.79521
490	10758.89096
491	10752.76812
492	10745.0771
493	10730.34993
494	10714.83351
495	10691.93433
496	10672.83935
497	10665.70005
498	10652.64282
499	10629.08172
500	10614.37096
501	10599.79275
502	10589.21401
503	10582.40892
504	10564.54844
505	10545.23571
506	10521.05535
507	10519.50392
508	10517.09982
509	10515.67961
510	10502.29824
511	10480.36939
512	10464.13806
513	10449.94563
514	10436.45993
515	10435.58471
516	10421.0657
517	10402.70539
518	10393.06536
519	10380.01788
520	10378.54911
521	10364.44361
522	10356.05249
523	10337.76842
524	10316.93586
525	10314.70308
526	10296.03454
527	10295.045
528	10273.30226
529	10260.93923
530	10249.38712
531	10227.99528
532	10221.75465
533	10216.3076
534	10198.21551
535	10192.37165
536	10171.12737
537	10156.36569
538	10143.42677
539	10138.19685
540	10120.27411
541	10096.52642
542	10089.68342
543	10079.71906
544	10077.8251
545	10062.72341
546	10053.03432
547	10032.10404
548	10020.42956
549	10005.80666
550	9993.856726
551	9983.564294
552	9969.197615
553	9961.105292
554	9950.805595
555	9949.281555
556	9937.10563
557	9914.476823
558	9897.100588
559	9888.274235
560	9873.347751
561	9862.882112
562	9850.700861
563	9829.587212
564	9815.312045
565	9810.106462
566	9790.504538
567	9778.23247
568	9765.191073
569	9748.041467
570	9729.044457
571	9715.487177
572	9703.995504
573	9699.116151
574	9697.777984
575	9685.603343
576	9669.464713
577	9659.340013
578	9642.41484
579	9641.330347
580	9628.521195
581	9605.688059
582	9599.20526
583	9586.899151
584	9578.370054
585	9568.302498
586	9551.287317
587	9543.063063
588	9523.12063
589	9512.994879
590	9499.482036
591	9497.826555
592	9475.641603
593	9464.336328
594	9444.402942
595	9427.316565
596	9419.778342
597	9407.175007
598	9392.776848
599	9377.258592
600	9363.958992
601	9348.624183
602	9338.205948
603	9336.836304
604	9327.029265
605	9311.718148
606	9305.931337
607	9291.830749
608	9280.932355
609	9274.363709
610	9273.17039
611	9272.070245
612	9262.799599
613	9252.037037
614	9235.574208
615	9221.614238
616	9212.338465
617	9211.329527
618	9201.070132
619	9190.343268
620	9182.646724
621	9168.957572
622	9154.344145
623	9144.781462
624	9128.065702
625	9115.667673
626	9114.705136
627	9100.359784
628	9092.59157
629	9078.738293
630	9065.688417
631	9047.375379
632	9038.338737
633	9026.207086
634	9013.926506
635	9003.999871
636	8997.759858
637	8988.17676
638	8978.30272
639	8973.222547
640	8971.752381
641	8960.353737
642	8946.902632
643	8934.876344
644	8929.985633
645	8924.111896
646	8921.854329
647	8911.662674
648	8903.944046
649	8902.967898
650	8902.130382
651	8890.988979
652	8886.515306
653	8871.767069
654	8858.572467
655	8847.761421
656	8846.545768
657	8840.7796
658	8839.820273
659	8830.423111
660	8824.145064
661	8809.474103
662	8799.831361
663	8798.773108
664	8790.309779
665	8779.698414
666	8773.073708
667	8758.94751
668	8754.242342
669	8740.688224
670	8731.706364
671	8726.296529
672	8714.166954
673	8705.22109
674	8693.84948
675	8686.784605
676	8678.059331
677	8666.785029
678	8658.800934
679	8649.535246
680	8643.866221
681	8638.776282
682	8622.042779
683	8616.176417
684	8613.079742
685	8596.438054
686	8595.708224
687	8584.989459
688	8567.046697
689	8566.027741
690	8553.625607
691	8539.403044
692	8525.351383
693	8516.183522
694	8510.538465
695	8498.95153
696	8490.85787
697	8484.342715
698	8475.070807
699	8462.325134
700	8458.220793
701	8445.774758
702	8445.061791
703	8436.299532
704	8418.953403
705	8408.264232
706	8402.500919
707	8392.771513
708	8391.113412
709	8374.801376
710	8367.366957
711	8354.283388
712	8344.522249
713	8333.374386
714	8322.850209
715	8309.371448
716	8301.431471
717	8288.467564
718	8287.553929
719	8277.657687
720	8267.896483
721	8262.860275
722	8256.899169
723	8256.204027
724	8255.089127
725	8250.294374
726	8237.90118
727	8233.386377
728	8223.747878
729	8212.860135
730	8202.550525
731	8195.90772
732	8188.412863
733	8187.261242
734	8170.754619
735	8162.818394
736	8151.262661
737	8141.864905
738	8140.362076
739	8127.998376
740	8116.491
741	8106.637969
742	8099.532472
743	8098.524719
744	8091.710068
745	8080.977545
746	8071.148352
747	8065.084054
748	8053.330567
749	8050.540154
750	8038.134133
751	8026.945717
752	8019.350055
753	8004.454607
754	8003.903748
755	7994.503693
756	7985.526081
757	7980.534574
758	7975.354162
759	7967.88414
760	7961.458297
761	7953.963113
762	7941.989637
763	7929.897348
764	7929.213805
765	7913.318014
766	7898.024552
767	7886.277502
768	7879.425461
769	7871.175649
770	7854.832214
771	7843.26427
772	7839.880163
773	7827.609786
774	7815.740951
775	7814.88757
776	7808.302661
777	7801.54657
778	7791.871877
779	7786.944433
780	7779.047502
781	7765.581547
782	7755.853725
783	7748.782589
784	7741.306846
785	7731.282768
786	7724.569693
787	7716.191536
788	7708.165867
789	7701.377007
790	7700.764914
791	7696.771404
792	7686.679442
793	7678.323405
794	7665.014998
795	7655.890048
796	7646.223487
797	7637.264026
798	7627.196196
799	7617.345482
800	7606.525505
801	7600.41885
802	7590.776026
803	7581.755584
804	7577.32904
805	7566.429794
806	7560.941123
807	7548.271194
808	7535.86968
809	7528.180783
810	7518.445553
811	7517.790523
812	7507.26035
813	7496.477079
814	7487.402408
815	7482.108765
816	7471.125517
817	7462.103173
818	7451.002354
819	7445.520885
820	7441.048054
821	7431.092182
822	7416.669436
823	7405.345195
824	7397.648459
825	7389.141998
826	7388.556733
827	7380.458199
828	7377.970532
829	7374.020624
830	7373.406822
831	7366.851076
832	7359.309244
833	7353.173136
834	7343.04395
835	7336.504799
836	7327.688444
837	7316.51789
838	7301.958764
839	7294.693834
840	7286.293609
841	7271.927611
842	7267.838459
843	7260.125477
844	7256.947665
845	7252.413673
846	7244.866452
847	7237.466565
848	7230.58058
849	7222.306771
850	7217.392848
851	7215.86607
852	7215.142109
853	7209.798359
854	7203.130931
855	7198.667734
856	7198.135664
857	7186.882989
858	7183.30223
859	7171.62685
860	7168.896766
861	7167.68003
862	7161.767679
863	7156.204568
864	7144.546158
865	7134.192753
866	7124.571153
867	7119.262998
868	7108.06159
869	7094.782355
870	7088.922964
871	7083.989757
872	7077.170982
873	7067.40778
874	7062.937242
875	7057.707684
876	7052.414915
877	7045.050575
878	7041.827615
879	7037.615167
880	7033.441496
881	7032.944055
882	7026.740949
883	7015.706879
884	7008.864381
885	6996.515408
886	6995.844771
887	6984.843601
888	6975.450978
889	6964.900379
890	6954.476981
891	6947.855141
892	6941.251762
893	6929.990626
894	6924.819291
895	6920.154544
896	6915.548644
897	6911.758601
898	6906.701064
899	6903.405796
900	6899.114821
901	6888.803527
902	6876.999842
903	6876.462187
904	6868.726705
905	6855.614794
906	6849.162843
907	6840.017516
908	6832.717891
909	6823.94693
910	6818.742083
911	6810.494229
912	6799.811326
913	6791.414309
914	6787.113212
915	6777.992253
916	6775.885928
917	6775.388098
918	6766.399691
919	6759.475162
920	6749.435698
921	6743.749337
922	6737.240981
923	6729.674714
924	6715.818586
925	6712.397409
926	6706.090008
927	6702.917003
928	6701.110573
929	6696.313564
930	6688.595067
931	6681.182318
932	6673.651535
933	6670.671115
934	6670.201463
935	6664.815022
936	6662.400739
937	6654.289282
938	6649.596683
939	6644.569753
940	6639.319104
941	6632.99164
942	6625.723553
943	6618.214396
944	6610.837627
945	6605.735741
946	6594.652045
947	6588.887016
948	6582.648156
949	6576.125381
950	6568.6143
951	6564.774393
952	6563.20363
953	6560.356982
954	6548.668473
955	6544.508903
956	6544.027302
957	6540.102866
958	6534.66456
959	6523.365208
960	6515.13956
961	6504.502271
962	6499.625929
963	6493.223816
964	6487.362661
965	6476.279099
966	6473.154314
967	6469.084896
968	6458.061112
969	6451.952089
970	6443.884801
971	6436.517129
972	6425.443079
973	6420.571365
974	6412.792681
975	6406.849249
976	6400.164896
977	6395.166836
978	6386.919662
979	6383.153431
980	6374.906475
981	6372.414743
982	6363.681075
983	6358.357357
984	6355.984937
985	6354.399031
986	6348.647109
987	6340.810085
988	6333.013599
989	6326.69493
990	6323.630749
991	6315.877387
992	6312.194581
993	6302.904144
994	6295.478187
995	6294.477044
996	6287.685934
997	6287.254183
998	6281.237423
999	6279.473676
